AreaID,PID
1,716761018
2,614656748
3,431322854
4,993963079
5,414621750
6,872919841
7,382335416
8,408232609
9,328358281
10,578611939
11,289378299
12,577471705
13,459296024
14,374393508
15,838743140
16,264056554
17,506671421
18,377443444
19,343653821
20,921201886
21,752506072
22,36000091
23,939839577
24,338177341
25,37736695
26,734105947
27,677463854
28,329204996
29,420908575
30,651281009
31,576021663
32,337684874
33,96110207
34,57140166
35,220970675
36,727876676
37,261395459
38,508941607
39,151078553
40,565292066
41,978133633
42,659812486
43,489855874
44,822365722
45,274050518
46,42686463
47,447495307
48,635556987
49,421500532
50,646729867
51,77248896
52,112705341
53,337672603
54,464560784
55,24455480
56,217744760
57,704060628
58,396433973
59,691571404
60,645052515
61,818380249
62,961565041
63,391281611
64,569413896
65,900149250
66,214487946
67,363666651
68,378656694
69,25203985
70,199901791
71,780183044
72,910478730
73,783553054
74,874749580
75,342984919
76,610890942
77,652079968
78,585616484
79,949504201
80,579967757
81,796032911
82,647468561
83,470388796
84,265541461
85,733805356
86,338321373
87,137561552
88,301360537
89,801455592
90,40099451
91,32331905
92,241615456
93,445067484
94,118421739
95,71153351
96,5200179
97,273523327
98,34835758
99,427034545
100,369122293
101,47071829
102,525639791
103,270640056
104,808574707
105,866206294
106,444101039
107,454866269
108,723762923
109,195765286
110,404196212
111,599268179
112,957826293
113,764884265
114,843049334
115,734223642
116,802652820
117,412334307
118,102843870
119,481331461
120,722704513
121,555918789
122,125890309
123,845846392
124,185769705
125,569353361
126,911891103
127,432254446
128,407845686
129,535804415
130,796801296
131,41755873
132,513928666
133,56694123
134,341280949
135,765250767
136,920856872
137,670147977
138,646926179
139,630811651
140,432624440
141,704878646
142,192911059
143,191026748
144,549274549
145,253672113
146,23208723
147,837342927
148,224229068
149,589409818
150,997935283
151,933729113
152,598773950
153,259297217
154,444280104
155,561658122
156,379180232
157,919954310
158,630402451
159,389325246
160,502988938
161,986842008
162,299136634
163,717826512
164,598406554
165,663849522
166,793187487
167,16130128
168,421983601
169,851443398
170,930142113
171,890990038
172,961528077
173,805109485
174,560292614
175,878807354
176,148780515
177,566926566
178,844723866
179,612753419
180,230638116
181,467511382
182,70261934
183,526579138
184,944166291
185,401632347
186,622032126
187,605283749
188,224575938
189,551939476
190,453884919
191,530684370
192,883329535
193,393100304
194,454984939
195,381598338
196,11701610
197,588187200
198,589938223
199,679466698
200,854438224
201,667615827
202,365556134
203,501931376
204,654089601
205,40037904
206,873899905
207,256536523
208,692224519
209,200279142
210,601370036
211,637560084
212,204115331
213,934501226
214,108356259
215,867317285
216,601663028
217,865876987
218,924048504
219,886642949
220,284119888
221,44852725
222,913816624
223,732750144
224,85648841
225,99371972
226,942091757
227,27921429
228,496403747
229,25633654
230,819757328
231,821305121
232,311932634
233,277962176
234,298451869
235,127562515
236,866081167
237,680876131
238,208223673
239,379821234
240,321690423
241,84641570
242,189819878
243,181396602
244,284036219
245,576270385
246,190544260
247,715079554
248,303039647
249,706002456
250,774063871
251,326209211
252,498232158
253,764438441
254,355746760
255,543106007
256,518707754
257,132611279
258,35377432
259,345012742
260,425062531
261,378661171
262,461957985
263,864916472
264,211905667
265,287477256
266,126781980
267,282148610
268,976172754
269,793994985
270,557732858
271,234509737
272,660310277
273,473486610
274,887289657
275,32353274
276,251993509
277,29181885
278,436614131
279,167262101
280,47931054
281,781843706
282,182043067
283,488532923
284,766564531
285,553645481
286,738185719
287,468128080
288,594869491
289,903616165
290,246867174
291,687286096
292,866642881
293,756305215
294,564694505
295,494091166
296,249654640
297,572528443
298,706328469
299,42964169
300,434018511
301,734671125
302,628309891
303,872628624
304,354935061
305,718480509
306,687475107
307,467735475
308,73120034
309,801832250
310,330625701
311,144951434
312,237774671
313,950097743
314,60938496
315,338980133
316,85942400
317,931822828
318,92083438
319,343250405
320,994810563
321,329846000
322,808694394
323,179873892
324,456861563
325,616600485
326,280967454
327,150006408
328,19105608
329,612065632
330,953516155
331,923246053
332,50712564
333,644134709
334,889839201
335,243635842
336,977240586
337,622334103
338,504836598
339,194165073
340,898964979
341,941772821
342,944033433
343,847537161
344,765939091
345,678901227
346,556399026
347,50183043
348,415840948
349,225185871
350,382514205
351,116327675
352,230935006
353,625664991
354,733866285
